date,region_one,region_two,region_three,region_four,region_five,region_six,unknown,total
2021-01-02,169387,111918,8756,23508,15918,71322,35345,436154
2021-01-03,179423,116051,8766,23685,16804,75235,34342,454306
2021-01-04,180450,117900,8770,24003,16959,76792,34690,459564
2021-01-07,226660,150583,11418,31708,20893,96005,49112,586379
2021-01-08,255936,165478,12849,35150,23055,104021,55639,652128
2021-01-09,289935,185297,14026,40210,25480,117517,61940,734405
2021-01-10,311646,198866,14062,42563,26785,124397,65157,783476
2021-01-11,324140,206585,14446,45022,27927,128348,70205,816673
2021-01-12,355222,224043,16264,48434,29757,140066,75256,889042
2021-01-13,386661,246694,17923,53779,32456,152333,81983,971829
2021-01-14,426863,270704,20279,58340,35730,166977,89981,1068874
2021-01-15,478925,301172,22934,64413,39965,166977,96798,1188703
2021-01-16,527768,329813,24253,69890,46446,202975,102373,1303518
